"","Sighted","Reported","Location","Shape","Duration"
"32696",20010912,20050725,"Forest City, NC","unknown","20-30 seconds"
"31519",19670301,20050327,"Whittier, CA","oval","2 seconds"
"14618",19990618,20020114,"Grand Canyon, NV","cigar","3"
"11378",20010329,20010403,"Washington, MO","other","6 minutes"
"2937",19980828,19980828,"Frances, WA","fireball","2 sec."
"57893",20091204,20091204,"McMurray, PA","cylinder","1 hr 40 min"
"47887",20080421,20080423,"Oakland, CA","oval","2 minutes"
"32132",19720625,20050601,"Albany, NY","cigar","10 seconds"
"1991",19970407,19970410,"Colorado Springs, CO","cylinder","5 minutes"
"56142",20090815,20090815,"Grand Rapids, MI","fireball","approximately 2 minute"
"28869",20041108,20041108,"Jacksonville, FL","oval","4 seconds"
"54821",20090612,20090618,"West Hollywood  and west, CA","light","approx 60 sec"
"57979",19981215,20091201,"Fairbanks, AK","formation","5 minutes"
"9721",20001014,20001014,"Mechanicsville, VA","circle","15 seconds"
"54761",19980530,20090703,"Salem, OR","oval","2105"
"4422",19990508,19990509,"Everett, WA","light","10 minutes"
"53843",20090420,20090421,"Las Cruces, NM","fireball","10 minutes"
"44493",19790901,20070902,"Crowley, LA","unknown","1  minute"
"53569",20090428,20090428,"St. James, NY","circle","LATE NIGHT"
"16142",20020528,20020528,"Bakersfield, CA","unknown","20 secs"
"52202",20081122,20081122,"Spring Valley, CA","circle","minute"
"41819",20070128,20070128,"Clarksville, TN","unknown","Less than 1 second"
"56681",20090919,20090919,"West Chester, PA","formation","3 minutes"
"34204",20051001,20051003,"Hillside, IL","changing","1/2 hour"
"22160",20030809,20031010,"Sydney (NSW, Australia),","disk","30 seconds"
"38070",20060711,20060711,"Gila Indian Reservation &amp; S. Chandler, Ocotillo area, AZ","changing","5 minutes"
"2204",19980429,19980505,"Simpsonville, SC","light","3 seconds"
"12950",20010902,20010903,"Santa Rosa, CA","cross","3 minutes"
"16641",20020808,20020813,"Middelkerke (Leffinge) (Belgium),","oval","unknown"
"33809",19750101,20050914,"Eilat (Israel),","cigar","10minutes"
"15532",19990115,20020728,"Stevens Pass, WA","triangle","2min"
"3892",19990213,19990214,"Walnut Creek, CA","unknown","10 min"
"38475",19850915,20060620,"Mumbai (India),","other","45 MINS ++"
"8472",19730717,20000628,"Asheville, NC","disk","4 minutes"
"16094",20020704,20020705,"San Bernardino, CA","unknown","15 sec,"
"19445",20030403,20030413,"Portland, MA","triangle","5 minutes"
