"","Sighted","Reported","Location","Shape","Duration"
"31688",20050429,20050430,"Jupiter, FL","formation","20 + minutes"
"50551",20080901,20080902,"Rockford, IL","light","5 minutes"
"44346",20070725,20070809,"Waukon, IA","changing","uncertain-15/20 minutes?"
"41068",20070125,20070125,"Las Vegas, NV","light","20 minutes"
"1736",19960815,19970314,"Grand Rapids, MI","light","20-30 min"
"28769",20040919,20040922,"Conway, SC","light","8 seconds"
"5539",19650615,19990914,"St. Marys, WV","disk","about 20 seconds"
"11343",19990601,20010325,"Manchester (UK/England),","triangle","2mins"
"36751",20060404,20060406,"Frazier Park, CA","circle","1:00 minute"
"3558",19981214,19981215,"St. Charles, MO","fireball","15-30 seconds"
"16997",19960725,20020730,"Uden (Netherlands),","other","4,5 sec"
"24104",20031116,20040104,"Coquitlam (Canada), BC","other","few seconds"
"10324",19790615,20001204,"Woodland, WA","unknown","unshure &quot;very quick&quot;"
"5714",19990903,19990903,"New Smyrna Beach, FL","circle","I WAS LOOKING OVER THE OC"
"1574",19971224,19971224,"Phuket (Thailand),","formation","10:15"
"35686",20051211,20051212,"Purcellville and Lovettsville (near), VA","other","2-4 minutes"
"56664",20090907,20090907,"Spring Hill, FL","circle","15-18 minutes"
"31734",20050311,20050317,"Haslach (Austria),","light","2 min"
"23352",19910921,20031125,"Sault Ste. Marie (Canada), ON","triangle","3 min"
"5894",19990830,19990920,"Okinawa (Japan),","egg","2min"
"9349",20000916,20000917,"Fort Wayne, IN","cigar","15 secs"
"58183",20100319,20100330,"Lafayette (?) (near), IN","triangle","minutes"
"23286",20031212,20031213,"Hillsboro, OH","light","5 minutes"
"29231",19990323,20041127,"Colorado Springs, CO","sphere","45minutes"
"32651",20050525,20050530,"Hellier, KY","light","2min."
"16546",20020810,20020823,"Waterford, ME","sphere","20 Minutes"
"47429",20080327,20080330,"Montcalm, WV","circle","about 3 min."
"11990",20010414,20010414,"Gaylord, MI","oval","3 seconds"
"53584",20050630,20090403,"Ridgetop, TN","other","Around 15 minutes"
"44491",20070912,20070912,"Lawrence, KS","unknown","3 minutes"
"49249",20080607,20080627,"Hereford (UK/England),","light","5 mins"
"3366",19981201,19981203,"Westfield (5 Miles North of), IN","fireball","10-12 Seconds"
"41211",20061127,20070104,"Tempe, AZ","disk","20 minutes"
"31770",20001015,20050423,"Strawberry, AZ","disk","15 minutes"
"58309",20100220,20100223,"Pickney, MI","fireball","5 minutes"
"29730",19750714,20050130,"Girard, MI","unknown","@ 45 minutes"
"25330",20040328,20040327,"Brighton (UK/England),","triangle","1 minute"
"48934",20080605,20080617,"Orangevale, CA","sphere","12 sec"
"4195",19981222,19981222,"Rome (GA)/Cedar Bluff (AL), GA","changing","2.5 hours"
"48418",20080608,20080608,"Albuquerque, NM","other","approx 10 min"
"7078",19991129,19991128,"Windsor (Canada), ON","fireball","3 seconds"
"21747",19840701,20030927,"New York City (Yonkers), NY","triangle","15 minutes"
"58857",20100323,20100323,"Oregon, OH","unknown","10 sec"
"17175",20020912,20020913,"Huizen (Netherlands),","triangle","5  Seconds"
"12540",19720715,20010813,"El Paso, TX","light","12 min."
"21137",20030802,20030802,"Santa Ana, CA","formation","slowly flying by"
"60214",20100710,20100710,"Grants Pass, OR","light","2 mins"
"37969",19661021,20060720,"Santa Fe, NM","disk","-5 minutes"
"45244",20071013,20071014,"Irvine/Newport Beach, CA","disk","&lt; 1 minute"
"3303",19980703,19980804,"Campbell River (Vancouver Island) (Canada), BC","triangle","3-5 seconds"
"53174",20090120,20090120,"Victorville, CA","rectangle","30 seconds"
"55994",20090726,20090726,"Columbia, MO","light","20 seconds"
"47035",20080217,20080218,"Grants Pass, OR","light","5 seconds"
"42726",20070408,20070408,"New Milford, CT","light","1 week"
"60008",20100708,20100710,"Vancouver, WA","light","5 minutes"
"55943",20090829,20090829,"La Palma, CA","sphere","1.5 - 2.0 sec"
"38182",20060731,20060731,"Valley City, OH","light","2 seconds"
"49910",20080704,20080707,"Wallingford, CT","fireball","5minutes"
"6389",19991007,19991010,"Elkton, MD","unknown","45min."
"17602",20021010,20021010,"Hayward, WI","flash","00:43"
"23555",20031205,20031206,"Orillia (Canada), ON","light","approx: 4 or 5 seconds"
"49674",20080722,20080723,"Maryhill, WA","disk","1 minute"
"39870",20061210,20061211,"Columbus, OH","circle","2 minutes"
"24680",20040324,20040324,"New Port Richey, FL","fireball","2min"
"13195",20010812,20010822,"Kentucky, KY","oval","2min"
"46525",19990105,20071227,"Estes Park, CO","circle","1 minute"
"45213",20061115,20071111,"Birmingham, AL","fireball","10-15 Seconds"
"51409",20081008,20081103,"Oregon on Interstate-5, OR","light","1 min to 1 min 30 sec"
"28719",20041018,20041018,"Denver, CO","fireball","4 seconds or so"
"55046",20090610,20090611,"Mountlake Terrace, WA","light","15 minutes"
"29846",20041209,20041211,"Chico, CA","triangle","5 seconds"
"44223",20070829,20070829,"Carle Place, NY","oval","30 minutes"
"1057",19960801,19961221,"San Jose, CA","fireball","15-30 sec"
"3619",19990313,19990314,"Angeles Crest Hwy, CA","sphere","5 seconds"
"54067",20090326,20090326,"Ventura, CA","formation","3 minutes"
"52568",20081226,20081226,"Minden, NV","changing","5 minutes"
"38951",20061017,20061017,"Choctaw Beach, FL","fireball","10 minutes"
"29953",20041014,20041211,"Reno, NV","changing","2 hours"
"34889",20051103,20051103,"South Pasadena, CA","fireball","3-5 minutes"
"52351",20090104,20090104,"Ventura, CA","chevron","20 minutes"
"36992",20041205,20060607,"Homosassa, FL","sphere","15-30 Seconds"
"43847",20070707,20070712,"Homer Glen, IL","disk","10 minutes"
"25353",20040319,20040319,"Atlanta, GA","circle","5-10 min."
"6725",19991229,19991230,"Hong Kong (Lamma Island; PRC),","other","15 seconds"
"39143",20061006,20061007,"Columbia, MO","flash","3 seconds"
"7252",19991117,19991118,"Seattle (Belmont &amp; Pike intersection), WA","other","2 seconds"
"22929",20031023,20031024,"Seattle, WA","circle","10 seconds"
"42666",20050716,20070414,"Benbrook, TX","light","3-5 minutes"
"2616",19980813,19980820,"Tuskegee National Forest @ HWY 85, AL","disk","unknown"
"22633",20031005,20031010,"Beamsville (Canada), ON","triangle","3 minutes"
"44634",20070815,20070818,"Santa Rosa, CA","chevron","8 minutes"
"52761",20090123,20090131,"Deltona, FL","sphere","10seconds"
"5677",19990914,19990914,"Bryan, TX","triangle","10 to 15 sec"
"46219",20060609,20071128,"Aurora, IL","cross","15-19 Mins"
"59710",19970707,20100621,"Stafford, VA","rectangle","2:00 minutes"
"3087",19981112,19981113,"Blaine, WA","flash","1 sec (twice)"
"26582",20040629,20040630,"Bolivar, MO","disk","30 minutes"
"23863",20010609,20040118,"Rancho Cordova, CA","circle","25 min."
"41358",19810605,20070310,"Myrtle Beach, NC","light","10 sec"
"17437",20021019,20021020,"Long Beach, CA","disk","4 Minutes"
"45577",20071108,20071108,"Crete, IL","flash","3 minutes"
"20440",20030512,20030707,"Panorama City, CA","oval","10 minuts"
"43511",20000615,20070731,"Dayton (Wright-Patterson AFB), OH","other","15-20 min."
"7376",19770715,20000423,"Placentia Jct. (Canada), NF","light","40 sec"
"8110",19890423,20000520,"Port Townsend (10 nm so.), WA","cigar","4-5 minutes"
"37550",20060429,20060430,"Binghamton, NY","unknown","20 seconds"
"45548",20050615,20071117,"Melbourne Beach, FL","fireball","1 minute"
"23692",20031202,20031201,"South Nyack, NY","egg","10 minutes"
"14088",19970227,20011111,"North Beach, MD","other","5-6 seconds"
"38177",19901120,20060804,"Roanoke, VA","light","1 minute"
"20856",20030723,20030808,"Portland, OR","circle","nightly"
"19927",20030515,20030515,"Dollard des Ormeaux (Canada), PQ","rectangle","45 seconds"
"17124",20020925,20021022,"Orlando, FL","sphere","two minutes"
"30639",19770215,20050310,"Joyce Kilmer Slickrock Creek Wilderness, NC","circle","30 minutes"
"55231",19981001,20090611,"Clarinda, IA","triangle","60 seconds"
"26266",20040522,20040522,"High Falls, NY","oval","2 seconds"
"4066",19980601,19990215,"Pensacola Beach, FL","light","1 minute"
"58250",20100408,20100409,"Shreveport, LA","other","ten minutes"
"20084",19861115,20030616,"Savannah, GA","light","3 to 5 minutes"
"50992",20081031,20081031,"Wakefield, RI","flash","1 second"
"13182",20010904,20010904,"Crestline, OH","other","3 hours"
"45336",20071105,20071106,"Western Springs, IL","other","3 seconds"
"16367",20020820,20020820,"The Pas (Canada), MB","fireball","2 seconds"
"1867",19970706,19970706,"Phoenix, AZ","light","?"
"6954",19991117,19991117,"Casa Grande, AZ","light","just a very few minutes"
"8338",20000721,20000806,"Nothridge, CA","other","10 minutes"
"31209",20050416,20050418,"Van Nuys, CA","circle","10 minutes"
"43868",20070911,20070911,"La Crescenta, CA","sphere","1 min"
"13468",20010801,20010907,"Gastonia, NC","light","3 seconds"
"2789",19970728,19981012,"Wayzata, MN","fireball","6 seconds"
"25473",20040407,20040410,"Fort Smith, AR","changing","26 minutes"
"33824",20050916,20050917,"Acworth, GA","rectangle","2 minutes"
"9517",20001119,20001119,"East Brunswick, NJ","teardrop","two minutes"
"13766",20011107,20011107,"Farmerville, LA","light","2 seconds"
"3821",19941020,19990311,"Plant City, FL","disk","5 min"
"23200",20031124,20031124,"Sacramento, CA","triangle","1 minute"
"21865",19831001,20030907,"Tarboro, NC","disk","3 minutes"
"38799",20030701,20060915,"coventry, RI","changing","3 minutes"
"54386",20090428,20090429,"Phoenix, AZ","light","3-4 minutes"
"60107",20100704,20100705,"Johnsonburg, PA","fireball","2 minutes"
"8088",20000305,20000306,"Rockford, IL","other","2min"
"60790",20100728,20100728,"Clayton, CA","circle","3-4 minutes"
"42670",20070330,20070330,", MS","sphere","5 minutes"
"42093",20070604,20070606,"Raymore, MO","oval","6 sec. (approx.)"
"55851",19760606,20090830,"Imperial Beach, CA","light","one minute"
"41796",20070101,20070130,"Cedar Falls, IA","light","3-5 minutes"
"5562",19990919,19990919,"Santa Barbara, CA","disk","30 minutes"
"34539",20021115,20051103,"Arcata, CA","light","10 min"
"20469",20030711,20030711,"Hacienda Heights, CA","light","2 + hrs"
"57114",20091016,20091016,"Rowlett, TX","circle","25 minutes"
"20857",19781001,20030821,"Windsor, NC","cone","5min"
"54923",20090602,20090602,"Williston, FL","oval","2-3 seconds"
"16361",20020803,20020804,"Chula Vista, CA","formation","10-12 min"
"36832",20050328,20060408,"Mineral Springs, NC","other","45 seconds"
"61023",20100818,20100818,"Fenton, MO","light","1 Hour"
"59226",20100428,20100428,"Honolulu, HI","light","3 to 4 minutes"
"21766",19720615,20030924,"Saskatchewan (southwestern) (Canada), SK","disk","1 hour"
"44976",20071029,20071029,"Las Vegas, NV","light","10 sec"
"2090",19980528,19980528,"Santa Fe, NM","fireball","7 min."
"31737",20050317,20050318,"Houston, TX","triangle","15 minutes"
"14107",19670615,20011130,"Edison, NJ","other","month"
"26217",20040405,20040406,"Newport, TN","other","30 to 40 sec."
"34527",20051115,20051115,"Swansea (UK/Wales),","sphere","10 minutes"
"8111",19800608,20000322,"Tucson, AZ","diamond","10 minutes!"
"24736",20040222,20040222,"Newfield, NY","fireball","10seconds"
"33549",20050921,20050928,"Glendale, AZ","disk","30 seconds"
"10831",19921011,20010225,"Albuquerque, NM","sphere","15 minutes"
"14011",20011112,20011112,"Matawan, NJ","light","?"
"39851",19980616,20061029,"Vincennes, IN","light","3to4,min."
"15800",20020704,20020705,"Junction City, KS","cigar","30 seconds"
"18463",20030108,20030108,"Spicewood, TX","cylinder","3 minutes"
"34966",20050405,20051113,"Northam (Australia),","disk","north"
"13857",20011118,20011205,"Miami Beach, FL","sphere","10 secs"
"21039",20030715,20030809,"Vashon Island, WA","unknown","5-10 minutes"
"30228",20041213,20041217,"Maricopa, AZ","changing","45 Min"
"30095",19891115,20050123,"San Antonio, TX","diamond","10 seconds"
"26432",20040619,20040620,"Wheeling, WV","other","1 minute"
"30118",20041220,20041221,"Salome, AZ","circle","five minutes"
"2720",19980628,19980628,"Sacramento, CA","cigar","15 minutes"
"57374",20091030,20091103,"Riverside, CA","light","2-3 Minutes"
"58604",19970815,20100309,"Shelbina, MO","unknown","15 seconds"
"55764",20090724,20090824,"Oneonta, NY","disk","2  1/2 seconds"
"36744",20000410,20060302,"South Whitley, IN","other","30 seconds"
"49789",20080730,20080730,"Ramstein (Germany),","light","over an hour"
"45058",20070922,20070929,"San Pablo, CO","diamond","30 min"
"31032",20050225,20050226,"Houston, TX","circle","taking a walk"
"20863",19870820,20030814,"Tallahassee, FL","chevron","15/sec"
"35933",19960601,20051126,"Scottish Highlands (UK/Scotland),","triangle","5-10mins"
"6143",19991106,19991107,"Pittsburgh (just south of), PA","formation","10 seconds"
"60973",20100813,20100814,"Kingston, WA","triangle","5 minutes"
"59977",20100703,20100716,"Waynesboro, PA","circle","1-2 minutes"
"18925",20030217,20030224,"Roslindale, MA","oval","1 min."
"7937",19991116,20000314,"Racine, WI","fireball","30-45 secs"
"34695",20051114,20051114,"Fullerton, CA","circle","10 seconds"
"48550",20070701,20080515,"Santa Barbara, CA","oval","two to three minutes"
"16053",20020531,20020601,"Warminster, PA","light","1/2 hour"
"2947",19981004,19981009,"Aberdeen, WA","fireball","05-10 seconds"
"22321",20030928,20031006,"Intersection of Hwy. 395 and 85, CA","triangle","10 secons"
"34959",20050428,20051015,"Blytheville, AR","changing","1 hour"
"28286",20040909,20040909,"Raeford, NC","teardrop","10 to 15 seconds"
"12985",20011006,20011005,"Park Forest, IL","triangle","15 SECONDS"
"33939",20050930,20051004,"Tinley Park, IL","unknown","30 minutes"
"19777",20020615,20030428,"toronto, ON","sphere","2min"
"55627",20090727,20090818,"Forest Lake, MN","unknown","minutes"
"7129",19881215,20000111,"Liberty, NC","triangle","1 minute"
"30764",20050219,20050224,"Rochester, NY","egg","30 seconds"
"3140",19980713,19980714,"Bakersfield, CA","unknown","3-5 seconds"
"24097",19891020,20031229,"Newfoundland, PA","other","45 min"
"17268",19951013,20021027,"Meridith, MI","light","3 minutes"
"40022",20061108,20061109,"Moreno Valley, CA","circle","Approx 1.5hrs"
"39961",20061117,20061117,"Nevada, MO","light","About 30 seconds"
"28676",20041023,20041024,"Apopka, FL","light","up to 20 minutes"
"55815",20090725,20090725,"De Borgia, MT","light","1 hour +"
"8006",20000512,20000517,"Portland, OR","unknown","one minute"
"28275",20040915,20040920,"Rancho Cucamonga, CA","fireball","3 seconds"
"8231",20000704,20000715,"Loves Park, IL","cigar","40 minutes"
"35572",20051123,20051124,"Frankin, NY","unknown","5 minutes"
"54820",20090704,20090705,"Milford, CT","light","10 min twice"
"27714",20040809,20040809,"Portland, OR","triangle","5 SECONDS"
"31292",19670801,20050430,"Coxsackie, NY","circle","3-5 minutes"
"23439",20031108,20031116,"Sewickley, PA","unknown","moments"
"2769",19981120,19981120,"Moline, IL","fireball","2 Sec."
"44337",20070807,20070831,"New Zealand,","fireball","15 -20 SECS"
"5537",19990913,19990913,"Tulsa, OK","flash","1 second"
"45119",20071102,20071103,"Indio, CA","fireball","5 minutes"
"23675",20031113,20031113,"Boothbay Harbor, ME","light","20 min"
"9485",20001102,20001103,"Medford, WI","circle","5 sec,"
"21074",19780601,20030810,"Bourbonnais, IL","disk","15 min"
"13578",20010920,20010920,"Seattle, WA","other","15mins"
"46957",20080211,20080211,"Stroudsburg, PA","unknown","6seconds"
"30244",19770708,20050308,"Brier Hill, PA","disk","15 to 25 seconds"
"24183",20031216,20040131,"F. Cortaleza (Brazil),","oval","3-5 minutes"
"21195",20030823,20030823,"Frankenthal/Pfalz (Germany),","other","5 minutes"
"59190",20100530,20100531,"Williamsburg (2 miles north of; I-75), KY","unknown","roughly 5 seconds"
"58408",20100125,20100216,"Johor Bahru (Malaysia),","unknown","10 min"
"49298",19960704,20080706,"Wilmington, NC","triangle","1 minute"
"1593",19970727,19970728,"Arlington, WA","light","1-2minutes"
"56163",20090829,20090829,"Newcastle upon Tyne (UK/England),","circle","40 mins"
"32316",20050602,20050602,"Cedar Rapids, IA","other","10 seconds"
"32126",19760501,20050628,"St. Thomas, PA","diamond","couple minutes"
"56305",20090803,20090810,"Keaau, HI","circle","10 minutes or so"
"29472",20020702,20050101,"Mantua, OH","disk","10 seconds"
"23842",20031227,20031227,"Carnesville, GA","circle","3 minutes"
"60562",20100703,20100703,"Elkhart, IN","circle","1 min."
"32672",19901114,20050608,"New London, NH","other","10  minutes"
"22822",20031029,20031029,"Thomson, GA","flash","3-5 seconds"
"1015",19790815,19961217,"Beach Haven Terrace (Long Beach Island), NJ","fireball","4-5 seconds"
"4434",19990609,19990609,"The Colony, TX","unknown","30 seconds"
"10154",20001123,20001128,"Atlanta, GA","formation","15-20 minutes"
"26111",19960701,20040410,"Albany, OR","egg","5 minutes"
"26838",20040516,20040518,"Farmington, NY","fireball","4 seconds"
"18453",20021127,20021127,"San Francisco, CA","changing","hour"
"44667",19940720,20070907,"Moses Lake, WA","triangle","not sure"
"6225",19991110,19991112,"House Springs, MO","light","1 minute"
"8091",19990728,20000309,"Dolgeville, NY","triangle","3 seconds"
"58317",20100218,20100228,"Mojave (21 mi. NW of), CA","sphere","00:30"
"34073",20050929,20050929,"Reno, NV","chevron","10 seconds"
"38713",19800707,20060818,"Hudson, MA","unknown","two minutes"
"12133",20010726,20010802,"Collingwood/Wasaga Beach (Canada), ON","triangle","2 Minutes"
"60814",20100717,20100717,"Blue Springs, MO","fireball","10 min"
"26007",20001023,20040430,"Stockholm (Sweden),","triangle","10min"
"47233",20080227,20080227,"Havelock, NC","triangle","4 minutes"
"29912",20050213,20050213,"Brownsville, TX","circle","10 seconds"
"51344",19870315,20081031,"Scottsdale, AZ","light","three minuets"
"7992",20000327,20000327,"Wellesley (Canada), ON","light","ongoing"
"59091",20100601,20100601,"Rouyn-Noranda (Canada), QC","triangle","3-4 sec."
"14276",20020109,20020221,"Melbourne (VIC, Australia),","disk","1 min"
"58475",20091207,20100118,"Key West, FL","other","15 seconds"
"2845",19970528,19980706,"Central New York, NY","light","2 days"
"59646",20060704,20100615,"Orland Park, IL","triangle","unk"
"14192",19970210,20011102,"Brentwood, TN","light","2 minutes"
"6631",0,19991125,"New Martinsville, WV","light","5 minutes"
"47422",20080309,20080309,"Lewisburg, TN","light","5-10 seconds"
"37421",20060413,20060414,"Jamestown, NY","triangle","15 seconds"
"41210",20070124,20070125,"Greenville, SC","light","5-10 seconds"
"27039",20040524,20040605,"Breckenridge, CO","light","20 seconds"
"20265",20030609,20030609,"San Antonio, TX","light","20 Seconds"
"4124",19990227,19990307,"Laughlin, NV","circle","10min"
"61150",20100828,20100828,"Montclair, NJ","formation","45 minutes"
"1213",19960628,19960628,"Walled Lake, MI","light","5-7 min"
"53104",20081114,20090206,"San Francisco, CA","triangle","1 minute"
"37424",20060526,20060527,"Arbroath (UK/Scotland),","rectangle","3-4sec"
"9121",19991112,20001005,"Roseneath (Canada), ON","circle","15 min"
"53332",19870630,20090130,"Crofton, MD","disk","can&apos;t remember"
"26659",19700610,20040605,"Princess Anne, MD","oval","5 Min"
"11389",20010411,20010411,"Trenton (Canada), ON","circle","10 seconds"
"12273",20010301,20010620,"Gates, OR","triangle","2 minutes"
"60163",20100710,20100711,"Millville, PA","unknown","one hour"
"51021",20080902,20081028,"Potsdam, NY","light","10 to 15 minutes"
"37938",20060606,20060627,"Brighton (UK/England),","sphere","35mins"
"15949",20020707,20020707,"Cedar Hill, TX","formation","3 minutes"
"1618",19970116,19970413,"Moab, UT","other","3 min."
"12563",20010629,20010629,"Seattle (North), WA","unknown","20 minutes"
"6292",19991108,19991109,"La Grande, OR","formation","15 seconds"
"45933",20071201,20071201,"Pico Rivera, CA","disk","15 seconds"
"7892",19600201,20000312,"St. Paul, MN","cigar","3 seconds"
"23004",20031119,20031120,"Birmingham, AL","light","40 minutes"
"59423",20100516,20100518,"Denver, CO","unknown","45 Minutes"
"37081",19730615,20060514,"San Jose, CA","triangle","15min+"
"55062",20090612,20090615,"Veliko Tarnovo (Bulgaria),","sphere","7-10 seconds"
"17247",19640801,20021014,"Duquesne, PA","cigar","10 min."
"3868",19990314,19990313,"Parma, OH","triangle","10 seconds"
"29360",20041031,20041031,"Orland Hills, IL","formation","30min."
"27458",20040718,20040720,"Lincoln, NH","disk","13 minutes"
"48231",20060714,20080327,"Harpers Ferry, IA","light","2 nights"
"23934",20031001,20040112,"Circleville, OH","light","5-10 min."
"32919",20050714,20050818,"Phoenix, AZ","light","3-4 Minutes"
"28743",20041010,20041017,"Indianapolis, IN","oval","15 seconds"
"36794",20060126,20060206,"Madrid (Spain),","sphere","10 minutes"
"12053",20010402,20010416,"Green River (40 miles west of), UT","triangle","30 seconds"
"57171",20090805,20090907,"Allegany (near), NY","disk","20 minutes"
"35874",19540615,20060128,"Ellington AFB, TX","disk","12 min."
"7039",20000123,20000124,"Fontana, CA","disk","5 minutes"
"17616",20010609,20020921,"Las Vegas, NV","unknown","5 minutes"
"9699",20001111,20001111,"Bend, OR","light","25 minutes"
"18062",20021206,20030103,"Charleston, SC","fireball","3-5secs"
"55123",20090621,20090620,"Greenwood, IN","cylinder","5 seconds"
"34379",20051023,20051025,"Yucaipa, CA","light","7 minutes"
"33066",19920416,20050721,"Bowling Green, KY","disk","1 hour"
"1124",19961115,19970110,"Thornton Cleveleys, Lancashire (UK/England),","triangle","SECONDS"
"29938",20041027,20050114,"Woodside (Queens), NY","chevron","3 seconds"
"48947",20080608,20080608,"Voorhees, NJ","light","10 seconds"
"9420",20001026,20001102,"Agency, MO","other","1 Minute"
"37708",20060422,20060422,"Clarksville, IN","fireball","20 min"
"59240",20100601,20100602,"Buffalo, NY","formation","10 Sec."
"23026",20031202,20031203,"San Diego, CA","circle","10 minutes"
"55493",20090831,20090830,"Toronto (Canada), ON","light","2-5 mins."
"42526",20070420,20070422,"Waterdown (Canada), ON","other","aprox 1 min"
"22951",20031201,20031202,"Seymour, CT","other","30 minutes"
"7285",19991116,19991125,"Chicago, IL","circle","7 sec"
"28648",20041005,20041005,"Lynbrook, NY","formation","10-20 sec."
"12967",20011012,20011013,"Cannock (UK/England),","triangle","5-10 seconds"
"36447",20040630,20060312,"Plovdiv (Bulgaria),","light","5 minutes"
"26359",20040315,20040611,"Napa, CA","triangle","10 seconds"
"19161",20030127,20030127,"Gresham, OR","flash","10 seconds"
"43186",20070731,20070801,"Des Moines, IA","light","2 minuts"
"48884",20080525,20080526,"Scarborough, ME","triangle","25 seconds"
"56808",20090815,20091012,"Collbran/The Flat Tops, CO","oval","2-3 minutes"
"12529",20010602,20010615,"Long Island (above), NY","changing","10 seconds"
"51208",19980415,20081110,"San Antonio, TX","cylinder","3 mintues"
"9294",20001106,20001106,"Sacramento, CA","circle","Short"
"30377",19970308,20050305,"Jaworzynka (Poland),","cigar","2h"
"16408",20020721,20020731,"Gilbert, AZ","fireball","2 minutes"
"49926",20080612,20080623,"El Paso, TX","cigar","4 minutes"
"47002",19620701,20080216,"Chicago, IL","disk","10 minutes"
"19941",20030424,20030424,"Plover, WI","light","7 seconds"
"2390",19980819,19980924,"Reno, NV","light","15minutes"
"25555",19750701,20040409,"Salt Lake City, UT","light","5 or 6 secs."
"48608",20080516,20080516,"Van Buren, AR","changing","5 Minutes"
"8322",20000820,20000821,"Placerville, CA","unknown","5 min"
"3699",19740610,19990116,"Kentucky, KY","other","10min."
"1633",19971124,19971124,"Palm Harbor, FL","triangle","8 minutes"
"53927",20090216,20090304,"Puerto Rico,","unknown","20 minutes"
"11844",20010402,20010530,"Salem, OR","other","20"
"42520",20070508,20070508,"Romney, WV","unknown","10 min"
"59266",20100529,20100530,"New Port Richey, FL","unknown","4 minutes"
"1966",19970617,19970618,"Beaumont (campsite, near Fulton), MO","light","10 min"
"41410",20070318,20070323,"Stratford, CT","cigar","20 sec"
"51945",20081125,20081125,"New Hampton, IA","light","15 minutes"
"23071",20010218,20031117,"Los Angeles, CA","diamond","5 minutes"
"39409",0,20060904,"Bristol, PA","disk","15 seconds"
"42763",20070518,20070517,"Cabot, AR","light","15 Seconds"
"10961",19940404,20010219,"Von Ormy, TX","other","?"
"60762",20100704,20100707,"Battle Creek, MI","circle","Backyard"
"3794",19930910,19981214,"Chicopee, MA","triangle","10 minutes"
"36730",20060402,20060403,"San Bernardino, CA","diamond","3-8minutes"
"48504",20040924,20080523,"Saint Augustine, FL","cigar","1 minute"
"8534",20000526,20000603,"Yuma, AZ","unknown","45 mins"
"59094",20100428,20100429,"Virginia Beach, VA","light","1 hour"
"6220",19970524,19991025,"North Tonawanda, NY","triangle","1.5 minutes"
"42293",20070512,20070513,"Portsmouth, OH","light","1.5 Minutes"
"16573",20020123,20020804,"Arlington, TX","light","18:10 to 18:14"
"35459",20051225,20051224,"Horsham (UK/England),","unknown","30 seconds"
"48776",20080608,20080608,"Dowagiac, MI","light","2 minutes"
"39634",20060708,20061211,"Waverly, OH","sphere","20 min"
"55215",20090614,20090614,"Latrobe, PA","sphere","3 min"
"61078",20090401,20100828,"Columbia, MO","unknown","1 minute"
"19047",19990615,20030223,"Tamaqua, PA","disk","5 minutes"
"10026",20001123,20001124,"Valley Stream, NY","triangle","4 minutes"
"31724",19990101,20050508,"Loma Rica, CA","light","10-20minutes"
"33142",19970704,20050716,"Long Beach, CA","egg","2 minutes"
"39506",20061109,20061110,"Alto, TX","light","5 minutes"
"34954",19801001,20051015,"Jersey City, NJ","cigar","2-3 Minutes"
"52296",20081116,20081230,"Brockton, MA","triangle","2 minutes"
"14062",20010726,20011111,"Elkport (rural area), IA","light","5-10min."
"35540",19990920,20060111,"Silver Fork, CA","sphere","unknown duration"
"54812",20090622,20090625,"Mattoon, IL","egg","10 seconds"
"5406",19990814,19990814,"Milwaukee, WI","light","1 min"
"52927",19880630,20090125,"Frederid, WI","cigar","30 minutes"
"10990",20001226,20010124,"Montreal (Canada), PQ","fireball","10 -20 second"
"58945",20100405,20100406,"Wilmington, NC","oval","2 hours"
"52279",20081119,20081120,"Orange, CA","triangle","1MINUTE"
"5442",19550601,19990704,",","disk","?"
"13091",20010825,20010826,"Coombs (Canada), BC","light","1/2 hour"
"58917",20100221,20100221,"Ayrshire (UK/Scotland),","sphere","1 minute"
"10871",19670601,20010203,"Cincinnati, OH","cigar","5-10 minutes"
"26341",19760601,20040609,"Newark, OH","circle","5 minutes"
"11794",19830301,20010406,"Sandpoint, ID","disk","3 minutes"
"50041",20080817,20080816,"Bolingbrook, IL","triangle","7 minutes"
"46981",19801121,20080124,"Clarksburg, WV","oval","90 minutes"
"57749",20060325,20091225,"Charlotte, NC","oval","2 minutes"
"33343",20050731,20050802,"Eugene, OR","rectangle","1 minute"
"22549",20031016,20031016,"Hayward, CA","unknown","at least 10 minutes"
"26997",20030810,20040608,"Albuquerque, NM","unknown","100 minutes"
"10075",20010105,20010106,"La Mesa, CA","circle","5-8 min."
"3435",19820622,19981124,"New Ross, IN","other","~ 5 minutes"
"35467",20051212,20051213,"Coalgate, OK","light","15 minutes"
"20895",19930601,20030729,"Pittsburgh, PA","sphere","15 sec"
"55967",20090801,20090814,"New York City, NY","oval","1 minute"
"13767",20011115,20011119,"Bristol (UK/England),","rectangle","3 minutes"
"28836",20041115,20041116,"Kilgore, OH","disk","20 seconds"
"8786",20000604,20000604,"Sydney (NSW, Australia),","oval","10 mins"
"51898",20090102,20090102,"Caro, MI","cigar","5 seconds"
"22598",20031026,20031026,"Los Molinos, CA","triangle","10 seconds"
"25771",19820623,20040412,"unknown, CA","sphere","15 mins"
"27472",20020222,20040820,"Front Royal, VA","egg","10min"
"36960",20060519,20060522,"highway 78 between Bailey &amp; Bonham, Texas, TX","sphere","approx. 2 min."
"51670",20081103,20081104,"Kings Mills, OH","light","1 hour"
"24141",19750115,20040211,"Cairo, NY","triangle","35 min."
"19574",20030529,20030529,"Fort Collins, CO","light","approx 2 minutes"
